"Hotel Name","Hotel ID"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"Jaal Riad Resort - Adults Only","2385014"
"Hilton Boston Logan Airport","1520097"
"Baron Hotel Cairo","1849203"
"Luxury Night Hotel","95997385"
"voco Dubai","2225317"
"Hilton Boston Logan Airport","1520097"
"Angsana Teluk Bahang","18189310"
"Golden Dunes Al Fayhaa","48234904"
"Hilton Los Angeles Airport","1153727"
"Hampton Inn New York - LaGuardia Airport","1959638"
"Hilton Garden Inn Central Park South","1308513"
"Tanadewa Resort & Spa Ubud","94891251"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"Grand Mercure Dubai City","38970443"
"Hotel Flamenco Cairo","1532609"
"Ivory Inn Hotel Doha","3919173"
"Golden Tulip Sharjah Hotel Apartments","2016989"
"Hotel Fera Anaheim, a DoubleTree by Hilton","1789284"
"Hilton Boston Logan Airport","1520097"
"Hilton Garden Inn New York/Tribeca","1413183"
"Pestana CR7 Marrakech","95007162"
"Hilton Garden Inn Washington DC/U.S. Capitol","1141607"
"Arizona Biltmore,  LXR Hotels & Resorts","1636988"
"DoubleTree by Hilton Orlando at SeaWorld","1167498"
"LaGuardia Plaza Hotel","2547229"
"Sunset Jeddah","43581830"
"Makarim Palm Hotel","14898709"
"Hampton by Hilton Aachen Tivoli","79627877"
"Fairmont Amman","35137834"
"Suite Inn Hotel","1787041"
"Canopy by Hilton Madrid Castellana","1897914"
"LaGuardia Plaza Hotel","2547229"
"Hampton Inn New York - LaGuardia Airport","1959638"
"Hilton Quebec","1023083"
"Hotel Fera Anaheim, a DoubleTree by Hilton","1789284"
"Warwick Al Jubail Hotel","7897583"
"DoubleTree by Hilton Hotel Tulsa-Downtown","1302925"
"Hilton Hasbrouck Heights/Meadowlands","1483280"
"Le Park Concord Hotel Al Majmaah","56769765"
"Le Park Concord Hotel Al Majmaah","56769765"
"DoubleTree by Hilton Hotel Downtown Wilmington - Legal District","2489420"
"Hotel Fera Anaheim, a DoubleTree by Hilton","1789284"
"Hotel Clover Patong Phuket (formerly Surf Hotel Patong)","66382645"
"Hilton Quebec","1023083"
"Holiday Inn Dubai Festival City","86567205"
"Hilton New Orleans Riverside","1491836"
"Embassy Suites by Hilton Deerfield Beach Resort & Spa","2188423"
"Golden Tulip Sharjah Hotel Apartments","2016989"
"Pullman Zamzam Madina","59432551"
"Grand Millennium Al Wahda Abu Dhabi","1267011"
"Le Park Concord Hotel Arar","83302916"
"ibis Styles Dubai Airport Hotel","21724521"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"Hilton Quebec","1023083"
"Hilton Los Angeles Airport","1153727"
"LaGuardia Plaza Hotel","2547229"
"Pullman Zamzam Madina","59432551"
"Elizabeth Unique Hotel - A Member of Design Hotels","33310871"
"LaGuardia Plaza Hotel","2547229"
"Embassy Suites by Hilton Orlando Lake Buena Vista South","2155658"
"Hilton Paris Charles de Gaulle Airport","1124320"
"Patong Resort Hotel - SHA Extra Plus","1795897"
"Canal Central Hotel Business Bay","32165659"
